"household_id","participant_sex","participant_age","education_level","target_group","household_head_sex","Age_Group","Age_Group2","Womens_Age_Group","Womens_Age_Group2","global_form_id","womens_form_id","I_P_total_crops","I_P_total_important_crops","I_P_staple_area","I_P_total_crop_area","I_P_total_crop_yield","I_P_total_crop_productivity","I_P_simpson","I_P_total_livestock","I_P_total_important_livestocks","I_VCC1","I_VCC2","I_VCC3","I_VCC4","I_VCC5","I_VCC6","I_AWEAI_asset","I_AWEAI_asset_prop","I_HI_n_income_sources","I_HI_income_diversification","I_HI_self_perception","I_HI_savings","I_HI_have_debt","I_HI_worry_debt","I_HI_transport","I_HDDS","I_HDDS_min","FIES_1","FIES_2","FIES_3","FIES_4","FIES_5","FIES_6","FIES_7","FIES_8","I_FIES_score","I_FIES_prob_moderate","I_FIES_prob_severe","I_FIES_prev_moderate","I_FIES_prev_severe","I_FIES_category"
"454","F",39,"postsecondary","Consommateurs","M","26 - 55","31 - 50","26 - 55","31 - 50","uuid:5e6e0caa-2613-450e-acc0-6dcf972afbd5","uuid:6f6a287f-b032-4bdc-bae8-9a5f5781fd38",0,NA,NA,NA,NA,NA,NA,0,NA,"equal","no_reponse","equal","equal","moderate","moderate",1,1,0,"Income sources unreported",6,0,0,0,1,9,1,0,1,0,0,0,0,0,0,1,0.0207601978942691,6.35569774587452e-09,0.276221064086592,0.0238715452714838,"Mildly Food Insecure"
"453","F",50,"postsecondary","Consommateurs","M","26 - 55","31 - 50","26 - 55","31 - 50","uuid:2aa6dc8b-481a-4d1c-a15b-a78c4b2847de","uuid:7b73c986-8d99-4992-ab9c-4c597552c773",0,NA,NA,NA,NA,NA,NA,0,NA,"moderate","little","moderate","equal","moderate","moderate",1,1,0,"Income sources unreported",6,0,1,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0.276221064086592,0.0238715452714838,"Food Secure"
"BF0Z81","M",26,"secondary","Consommateurs","M","18 - 25","18 - 30",NA,NA,"uuid:69a72ef5-91fd-4f25-b5a5-8bee554ef6a8","uuid:26c85a62-9f91-413e-966a-e6c00e0c5c31",0,NA,NA,NA,NA,NA,NA,0,NA,"little","moderate","moderate","equal","little","moderate",1,1,0,"Income sources unreported",7,1,0,0,1,7,1,0,1,1,1,0,0,0,0,3,0.337569344275583,2.75628626811297e-07,0.276221064086592,0.0238715452714838,"Mildly Food Insecure"
"SKNO28","F",45,"coranique","Consommateurs","M","26 - 55","31 - 50","26 - 55","31 - 50","uuid:2ee63580-2d67-4b10-ba98-93c8755b8cc6","uuid:f6210cd4-c6b9-4de2-bb94-56b2c5e67f47",0,NA,NA,NA,NA,NA,NA,0,NA,"little","little","little","little","little","little",1,0.1,0,"Income sources unreported",5,0,0,0,1,7,1,1,0,0,0,0,0,0,0,1,0.0207601978942691,6.35569774587452e-09,0.276221064086592,0.0238715452714838,"Mildly Food Insecure"
"1CWMTL","M",40,"coranique","Consommateurs","M","26 - 55","31 - 50","18 - 25","18 - 30","uuid:a0ac5cc8-0eaf-4115-810f-c05788442a87","uuid:df3899ff-4328-4538-8b50-44b0d167f7b2",0,NA,NA,NA,NA,NA,NA,0,NA,"none","none","none","none","none","none",1,0.333333333333333,0,"Income sources unreported",5,0,0,0,1,7,1,1,0,1,0,0,0,0,0,2,0.0932852837366366,5.37366418029706e-09,0.276221064086592,0.0238715452714838,"Mildly Food Insecure"
"GX8235","M",25,"coranique","Consommateurs","M","18 - 25","18 - 30","26 - 55","51+","uuid:ba95f369-5c6f-46ba-94a4-d5a03888ce94","uuid:47e597c5-3ee3-4a36-8032-6220e1f92c5f",0,NA,NA,NA,NA,NA,NA,0,NA,"none","little","none","little","none","little",1,0.142857142857143,0,"Income sources unreported",5,0,0,0,1,8,1,1,0,1,0,1,0,0,0,3,0.337569344275583,2.75628626811297e-07,0.276221064086592,0.0238715452714838,"Moderately Food Insecure"
"C39EZF","F",25,"postsecondary","Calebasses","M","18 - 25","18 - 30","18 - 25","18 - 30","uuid:70fba2d8-d4f8-4c97-97ff-d05edf2ff4a7","uuid:294626f8-5779-450c-b94e-cb0f45a3eb7b",0,NA,NA,NA,NA,NA,NA,0,NA,"little","little","little","little","none","none",1,0.125,0,"Income sources unreported",5,0,0,0,1,7,1,1,1,1,0,0,0,0,0,3,0.337569344275583,2.75628626811297e-07,0.276221064086592,0.0238715452714838,"Mildly Food Insecure"
"FE9LX5","F",23,"secondary","Calebasses","M","18 - 25","18 - 30","18 - 25","18 - 30","uuid:68d4052c-958e-40d4-861a-f770398f958a","uuid:e8b31207-b4b2-4b64-88ff-5dd24f0debc2",0,NA,NA,NA,NA,NA,NA,0,NA,"none","none","none","none","none","none",1,0.285714285714286,0,"Income sources unreported",5,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0.276221064086592,0.0238715452714838,"Food Secure"
"C6CBXZ","F",40,"secondary","Consommateurs","M","26 - 55","31 - 50","26 - 55","31 - 50","uuid:3b60655b-ffd1-4d5d-ac61-d7b3ec229d5a","uuid:f8fd9fef-04ec-4ca7-b181-ef6c019b300d",0,NA,NA,NA,NA,NA,NA,0,NA,"none","none","none","none","none","little",1,0.5,0,"Income sources unreported",5,0,0,0,1,7,1,1,0,1,0,0,0,0,0,2,0.0932852837366366,5.37366418029706e-09,0.276221064086592,0.0238715452714838,"Mildly Food Insecure"
"17K7SR","F",42,"secondary","Calebasses","M","26 - 55","31 - 50","26 - 55","31 - 50","uuid:dab15e0b-dc2b-437a-bbbd-50aa401d2520","uuid:137a70b4-818d-4d54-a4ef-f7688064dbc4",0,NA,NA,NA,NA,NA,NA,0,NA,"little","little","little","little","little","little",1,0.5,0,"Income sources unreported",5,0,1,1,0,7,1,1,1,1,0,0,0,0,0,3,0.337569344275583,2.75628626811297e-07,0.276221064086592,0.0238715452714838,"Mildly Food Insecure"
"SQIJPA","F",35,"coranique","Calebasses","M","26 - 55","31 - 50","26 - 55","31 - 50","uuid:be3dd4d3-14f8-496c-beeb-e0893b300741","uuid:61b0396d-6354-455c-94de-91ad9f50ea4c",0,NA,NA,NA,NA,NA,NA,0,NA,"little","moderate","moderate","moderate","little","moderate",1,1,0,"Income sources unreported",5,0,1,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0.276221064086592,0.0238715452714838,"Food Secure"
"AQVF8Q","M",40,"coranique","Consommateurs","M","26 - 55","31 - 50","26 - 55","31 - 50","uuid:72394c7c-fe5e-4d59-9159-f6fbe4001afb","uuid:001ef173-673d-4919-86b6-29a61dcfa816",0,NA,NA,NA,NA,NA,NA,0,NA,"little","moderate","moderate","moderate","little","moderate",1,1,0,"Income sources unreported",7,1,1,1,0,8,1,1,1,1,0,0,0,0,0,3,0.337569344275583,2.75628626811297e-07,0.276221064086592,0.0238715452714838,"Mildly Food Insecure"
"6K9OKX","M",35,"coranique","Consommateurs","M","26 - 55","31 - 50","18 - 25","18 - 30","uuid:161c63ad-388d-4944-9b61-c7d3ea453e79","uuid:2196d8a5-8024-44c6-aab8-67aebffb4d48",0,NA,NA,NA,NA,NA,NA,0,NA,"little","moderate","moderate","moderate","moderate","moderate",1,1,0,"Income sources unreported",5,0,1,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0.276221064086592,0.0238715452714838,"Food Secure"
"BCN13T","F",29,"coranique","Consommateurs","F","26 - 55","18 - 30","18 - 25","18 - 30","uuid:0253d802-3725-4c11-9cfb-15d11f2f4774","uuid:e745d44d-ae4a-402c-a832-3792104e5514",0,NA,NA,NA,NA,NA,NA,0,NA,"little","moderate","moderate","moderate","little","moderate",1,1,0,"Income sources unreported",5,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0.276221064086592,0.0238715452714838,"Food Secure"
"7R26NM","M",34,"secondary","Consommateurs","M","26 - 55","31 - 50","18 - 25","18 - 30","uuid:5dcfe76e-b6a1-43f5-abda-bf4fd5853302","uuid:9a254bb8-a6bb-4018-86f7-1dc3b1ffdbfe",0,NA,NA,NA,NA,NA,NA,0,NA,"little","little","moderate","moderate","little","moderate",1,1,0,"Income sources unreported",7,1,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0.276221064086592,0.0238715452714838,"Food Secure"
"BU5G8P","M",46,"postsecondary","Consommateurs","M","26 - 55","31 - 50","26 - 55","31 - 50","uuid:46787650-969c-4963-b31d-9ebf38706726","uuid:a0d6b0b5-3069-446f-b835-5614eb606f3c",0,NA,NA,NA,NA,NA,NA,0,NA,"little","moderate","moderate","moderate","moderate","moderate",1,1,0,"Income sources unreported",7,1,0,0,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0.276221064086592,0.0238715452714838,"Food Secure"
"6MGYT0","F",24,"postsecondary","Calebasses","M","18 - 25","18 - 30","18 - 25","18 - 30","uuid:f3fac2c0-baf2-447f-8d71-adc696c1e8b1","uuid:b7f71f75-c658-426e-bbbe-88e145d7d037",0,NA,NA,NA,NA,NA,NA,0,NA,"little","moderate","moderate","moderate","little","moderate",1,1,0,"Income sources unreported",5,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0.276221064086592,0.0238715452714838,"Food Secure"
"0C9SXL","M",35,"coranique","Consommateurs","M","26 - 55","31 - 50","18 - 25","18 - 30","uuid:213f3111-685e-41db-a419-7aa6dbed66ce","uuid:1e8323f2-882d-44e6-bc4b-f46935a314f8",0,NA,NA,NA,NA,NA,NA,0,NA,"little","none","moderate","equal","little","moderate",1,1,0,"Income sources unreported",7,1,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0.276221064086592,0.0238715452714838,"Food Secure"
"5XXTGF","M",27,"secondary","Consommateurs","M","26 - 55","18 - 30","18 - 25","18 - 30","uuid:f47c8ad1-3d91-4b69-917e-ad33e3698480","uuid:807f86f9-e20b-480e-bed9-bf63737b40ef",0,NA,NA,NA,NA,NA,NA,0,NA,"little","little","moderate","equal","little","moderate",1,1,0,"Income sources unreported",7,1,1,0,1,7,1,0,1,1,0,1,0,0,0,3,0.337569344275583,2.75628626811297e-07,0.276221064086592,0.0238715452714838,"Moderately Food Insecure"
"36GEC8","F",33,"coranique","Calebasses","M","26 - 55","31 - 50","26 - 55","31 - 50","uuid:644edc5b-33b5-46b8-940f-6988bd636e10","uuid:f60b7742-2278-4419-82a3-2d69eb554580",0,NA,NA,NA,NA,NA,NA,0,NA,"little","little","little","equal","little","moderate",1,1,0,"Income sources unreported",7,1,1,0,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0.276221064086592,0.0238715452714838,"Food Secure"
"X4OBZH","F",45,"coranique","Producteurs","F","26 - 55","31 - 50","26 - 55","18 - 30","uuid:5ba80515-cd72-459f-81bb-19eddeae6414","uuid:91a949a7-a196-4593-9267-74e9ea9c869a",3,3,0.666666666666667,12,20000,1666.66666666667,0.620031001550078,4,4,"little","little","moderate","equal","little","none",1,1,1,"Crop farming only",7,1,1,1,0,8,1,0,1,1,0,0,0,0,0,2,0.0932852837366366,5.37366418029706e-09,0.276221064086592,0.0238715452714838,"Mildly Food Insecure"
"GLCI8E","F",35,"coranique","Consommateurs","M","26 - 55","31 - 50","26 - 55","31 - 50","uuid:f4272623-1ba5-4272-836a-3d1ac49e9c30","uuid:c9b50e17-c9ac-4f2a-986a-e65a8bd9ef08",0,NA,NA,NA,NA,NA,NA,0,NA,"no_reponse","no_reponse","little","equal","no_reponse","no_reponse",1,1,0,"Income sources unreported",7,1,0,0,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0.276221064086592,0.0238715452714838,"Food Secure"
"UAEDSM","M",44,"adult_education","Consommateurs","M","26 - 55","31 - 50","18 - 25","18 - 30","uuid:8601f306-a5ea-4061-a856-35f3056aa508","uuid:c9383792-b33a-4f07-867a-71109950b11a",0,NA,NA,NA,NA,NA,NA,0,NA,"no_reponse","no_reponse","no_reponse","equal","no_reponse","no_reponse",1,1,0,"Income sources unreported",7,1,0,0,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0.276221064086592,0.0238715452714838,"Food Secure"
"INLP17","F",30,"postsecondary","Consommateurs","M","26 - 55","18 - 30","26 - 55","18 - 30","uuid:88e27574-ca21-4799-988f-eb539a1c4ec0","uuid:2a6613be-e74b-489b-b4c4-e7956778188f",0,NA,NA,NA,NA,NA,NA,0,NA,"no_reponse","no_reponse","no_reponse","equal","no_reponse","no_reponse",1,1,0,"Income sources unreported",7,1,0,0,1,12,1,0,0,1,0,0,0,0,0,1,0.0207601978942691,6.35569774587452e-09,0.276221064086592,0.0238715452714838,"Mildly Food Insecure"
"UYXBMT","F",25,"secondary","Consommateurs","M","18 - 25","18 - 30","18 - 25","18 - 30","uuid:bcf774d9-b318-4deb-9a61-97b47b7347e8","uuid:0d1f53aa-0986-4f52-bcba-d35e41628feb",0,NA,NA,NA,NA,NA,NA,0,NA,"none","none","moderate","equal","no_reponse","little",0,0.166666666666667,0,"Income sources unreported",4,0,1,1,0,6,1,1,1,1,1,1,1,1,1,8,0.999226411662059,0.643822905735218,0.276221064086592,0.0238715452714838,"Severely Food Insecure"
"594","M",56,"primary","Calebasses","M","55+","51+","26 - 55","51+","uuid:c4b02c84-5e7c-45f4-959b-b40d75f69bab","uuid:f1c3ac36-76d5-4e11-98ee-3447ecacb1d5",1,1,1,0.0577,300,5199.30675909879,0,1,1,"none","no_reponse","moderate","equal","no_reponse","little",1,0.166666666666667,2,"Crop farming + Off-farm sources",4,0,1,1,1,6,1,1,0,1,0,1,1,1,0,5,0.922388641318079,0.00153586489675683,0.276221064086592,0.0238715452714838,"Moderately Food Insecure"
