"offfarm_rep_number","offfarm_income_name","offfarm_label","offfarm_income_note","off_farm_income_no1","offfarm_year_round","offfarm_month","offfarm_month.apr","offfarm_month.aug","offfarm_month.dec","offfarm_month.feb","offfarm_month.jan","offfarm_month.jul","offfarm_month.jun","offfarm_month.mar","offfarm_month.may","offfarm_month.no_answer","offfarm_month.nov","offfarm_month.oct","offfarm_month.sep","off_farm_income_no3","offfarm_who_control_revenue","offfarm_who_control_revenue.Female_adult","offfarm_who_control_revenue.Female_Youth","offfarm_who_control_revenue.Male_adult","offfarm_who_control_revenue.Male_Youth","offfarm_who_control_revenue.no_answer","PARENT_KEY","KEY"
2,"remittances","Remesas (enviar dinero)",NA,NA,"Y","jan dec",0,0,1,0,1,0,0,0,0,0,0,0,0,NA,"Female_adult Male_adult",1,0,1,0,0,"uuid:0c959db9-b533-4354-83b3-d3a0824bc531","uuid:0c959db9-b533-4354-83b3-d3a0824bc531/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[2]"
1,"remittances","Remesas (enviar dinero)",NA,NA,"Y","jan dec",0,0,1,0,1,0,0,0,0,0,0,0,0,NA,"Female_adult Male_adult",1,0,1,0,0,"uuid:0775fab9-0d2d-45f1-9f67-d412d58eb329","uuid:0775fab9-0d2d-45f1-9f67-d412d58eb329/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
1,"otherfarms","Mano de obra en otras fincas",NA,NA,"N","jul aug sep oct",0,1,0,0,0,1,0,0,0,0,0,1,1,NA,"Female_adult Male_adult",1,0,1,0,0,"uuid:167108ec-006e-422e-a14a-a9f10e1f8252","uuid:167108ec-006e-422e-a14a-a9f10e1f8252/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
1,"remittances","Remesas (enviar dinero)",NA,NA,"Y","jan dec",0,0,1,0,1,0,0,0,0,0,0,0,0,NA,"Female_adult",1,0,0,0,0,"uuid:ef1c7fe6-3166-489b-97ec-955373a8e2fb","uuid:ef1c7fe6-3166-489b-97ec-955373a8e2fb/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
1,"remittances","Remesas (enviar dinero)",NA,NA,"Y","jan dec",0,0,1,0,1,0,0,0,0,0,0,0,0,NA,"Male_adult Female_adult",1,0,1,0,0,"uuid:0ba6c3bb-45d0-4d69-85cd-944270d0cff6","uuid:0ba6c3bb-45d0-4d69-85cd-944270d0cff6/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
1,"otherfarms","Mano de obra en otras fincas",NA,NA,"Y","apr",1,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Male_adult",0,0,1,0,0,"uuid:452d0f94-c251-4e57-b29f-1cc8df18f641","uuid:452d0f94-c251-4e57-b29f-1cc8df18f641/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
1,"no_answer","Sin respuesta",NA,NA,"no_answer","no_answer",0,0,0,0,0,0,0,0,0,1,0,0,0,NA,"no_answer",0,0,0,0,1,"uuid:3e0041fa-c3e9-42e2-bfe8-d03ea2b4dfbf","uuid:3e0041fa-c3e9-42e2-bfe8-d03ea2b4dfbf/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
1,"ownbusiness","Tener negocio propio",NA,NA,"Y","jan feb mar apr may jun jul aug sep oct nov dec",1,1,1,1,1,1,1,1,1,0,1,1,1,NA,"Female_adult",1,0,0,0,0,"uuid:c2880540-6d5e-4747-bd9f-4470c92516ba","uuid:c2880540-6d5e-4747-bd9f-4470c92516ba/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
1,"remittances","Remesas (enviar dinero)",NA,NA,"N","no_answer",0,0,0,0,0,0,0,0,0,1,0,0,0,NA,"Female_adult",1,0,0,0,0,"uuid:fedaa08f-b964-4c2b-89a4-7ab7b03d97e6","uuid:fedaa08f-b964-4c2b-89a4-7ab7b03d97e6/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
1,"remittances","Remesas (enviar dinero)",NA,NA,"N","no_answer",0,0,0,0,0,0,0,0,0,1,0,0,0,NA,"Female_adult",1,0,0,0,0,"uuid:7e82c59f-d95d-4bb8-9355-b3601203d4ac","uuid:7e82c59f-d95d-4bb8-9355-b3601203d4ac/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
1,"other","Otro",NA,NA,"Y","dec jan feb mar may apr jun jul aug sep oct nov",1,1,1,1,1,1,1,1,1,0,1,1,1,NA,"Female_adult",1,0,0,0,0,"uuid:696cebbb-0750-4e9a-acf1-fff4471a66a2","uuid:696cebbb-0750-4e9a-acf1-fff4471a66a2/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
