"crop_rep_number","crop_id","crop_label_english","crop_label","crop_name","season_grown","season_grown.All_year","season_grown.First","season_grown.Second","season_grown.Spring","season_grown.Summer","crop_measurement","crop_measurement_q_en","crop_measurement_q_es","crop_area","crop_area_unit","crop_area_unit_label","crop_area_conversion","crop_area_conversion_input","crop_area_conversion_col","crop_area_ha","crop_area_ha_2dp","crop_area_ha_note","yield_info","crop_harvest","crop_yield","crop_yield_units","crop_yield_units_label","crop_yield_units_conversion","crop_yield_kg","crop_yield_kg_2dp","crop_yield_note","crop_yield_area","crop_yield_area_2dp","crop_yield_kg_ha","crop_yield_kg_ha_2dp","crop_yield_note2","crop_yield_note3","crop_land_area","crop_no2","crop_use","crop_use.eat","crop_use.feed_livestock","crop_use.givetrade","crop_use.save_seed","crop_use.sell","crop_no3","crop_consumed_prop","crop_sold_prop","crop_feed_lstk_prop","crop_seed_saved_prop","crop_no4","crop_sold_income","crop_sold_price_quantityunits","crop_price_quantityunits_other","crop_no5","crop_who_control_revenue","crop_who_control_revenue.Female_adult","crop_who_control_revenue.Female_Youth","crop_who_control_revenue.Male_adult","crop_who_control_revenue.Male_Youth","crop_consume_control","crop_consume_control.Female_adult","crop_consume_control.Female_Youth","crop_consume_control.Male_adult","crop_consume_control.Male_Youth","PARENT_KEY","KEY","crop_label_spanish","household_id","loc1_name","loc2_name"
3,9,"Red Beans","Frjoles colarados",NA,"Second",0,0,1,0,0,"area","In total, how much land did you use for growing Frjoles colarados during the last 12 months?","En total, ¿cuánta area de tierra utilizó para cultivar Frjoles colarados durante los últimos 12 meses?",1,3,"Manzana",0.7056,NA,0.7056,0.7056,0.71,NA,"Y","good_harvest",20,3,"saco de 100 libras",45.4,908,908,NA,20,20,1286.8480725623583,1286.85,NA,NA,"Half",NA,"eat",1,0,0,0,0,NA,"","","","",NA,NA,"",NA,NA,"",0,0,0,0,"Male_adult Male_Youth Female_adult",1,0,1,1,"uuid:bb439e67-93bd-42cd-b9a5-e087e735f1e6","uuid:bb439e67-93bd-42cd-b9a5-e087e735f1e6/survey_grp/SECTION_Crop_Productivity/crop_repeat[3]","Frjoles colarados",14,"Langue","Las Olivas"
4,10,"Sorghum","Maicillo",NA,"Spring",0,0,0,1,0,"area","In total, how much land did you use for growing Maicillo during the last 12 months?","En total, ¿cuánta area de tierra utilizó para cultivar Maicillo durante los últimos 12 meses?",1,2,"Hectáreas",1,NA,1,1,1,NA,"Y","good_harvest",15,3,"saco de 100 libras",45.4,681,681,NA,15,15,681,681,NA,NA,"UnderHalf",NA,"eat",1,0,0,0,0,NA,"","","","",NA,NA,"",NA,NA,"",0,0,0,0,"Male_adult Female_adult Male_Youth",1,0,1,1,"uuid:bb439e67-93bd-42cd-b9a5-e087e735f1e6","uuid:bb439e67-93bd-42cd-b9a5-e087e735f1e6/survey_grp/SECTION_Crop_Productivity/crop_repeat[4]","Maicillo",14,"Langue","Las Olivas"
5,15,"Nance Fruit","Nance",NA,"Spring",0,0,0,1,0,"plants","In total, how many Nance plants did you grow during the last 12 months?","En total, ¿cuántas Nance plantas cultivaste durante los últimos 12 meses?",10,4,"Plantas",-99,NA,-99,NA,NA,NA,"Y","normal_harvest",200,4,"libras",0.4535,NA,NA,NA,20,20,NA,NA,NA,NA,"UnderHalf",NA,"sell eat",1,0,0,0,1,NA,"UnderHalf","UnderHalf","","",NA,600,"total_income_per_year",NA,NA,"Male_Youth Female_adult",1,0,0,1,"Male_adult Female_adult Male_Youth",1,0,1,1,"uuid:bb439e67-93bd-42cd-b9a5-e087e735f1e6","uuid:bb439e67-93bd-42cd-b9a5-e087e735f1e6/survey_grp/SECTION_Crop_Productivity/crop_repeat[5]","Nance",14,"Langue","Las Olivas"
1,3,"Maize","Maíz",NA,"Second",0,0,1,0,0,"area","In total, how much land did you use for growing Maíz during the last 12 months?","En total, ¿cuánta area de tierra utilizó para cultivar Maíz durante los últimos 12 meses?",1,8,"Tarea",0.04375,NA,0.04375,0.04375,0.04,NA,"Y","normal_harvest",14,3,"saco de 100 libras",45.4,635.6,635.6,NA,14,14,14528,14528,NA,NA,"UnderHalf",NA,"eat",1,0,0,0,0,NA,"","","","",NA,NA,"",NA,NA,"",0,0,0,0,"Male_adult",0,0,1,0,"uuid:9c9fde53-162f-4583-876d-ff9b5ef2efdb","uuid:9c9fde53-162f-4583-876d-ff9b5ef2efdb/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Maíz",41,"Langue","Las Olivas"
2,8,"Kidney Beans","Frijoles alacines",NA,"Second",0,0,1,0,0,"area","In total, how much land did you use for growing Frijoles alacines during the last 12 months?","En total, ¿cuánta area de tierra utilizó para cultivar Frijoles alacines durante los últimos 12 meses?",1,3,"Manzana",0.7056,NA,0.7056,0.7056,0.71,NA,"Y","normal_harvest",12,3,"saco de 100 libras",45.4,544.8,544.8,NA,12,12,772.1088435374149,772.11,NA,NA,"UnderHalf",NA,"eat",1,0,0,0,0,NA,"","","","",NA,NA,"",NA,NA,"",0,0,0,0,"Male_adult",0,0,1,0,"uuid:9c9fde53-162f-4583-876d-ff9b5ef2efdb","uuid:9c9fde53-162f-4583-876d-ff9b5ef2efdb/survey_grp/SECTION_Crop_Productivity/crop_repeat[2]","Frijoles alacines",41,"Langue","Las Olivas"
3,10,"Sorghum","Maicillo",NA,"Spring",0,0,0,1,0,"area","In total, how much land did you use for growing Maicillo during the last 12 months?","En total, ¿cuánta area de tierra utilizó para cultivar Maicillo durante los últimos 12 meses?",1,3,"Manzana",0.7056,NA,0.7056,0.7056,0.71,NA,"Y","normal_harvest",16,3,"saco de 100 libras",45.4,726.4,726.4,NA,16,16,1029.4784580498865,1029.48,NA,NA,"UnderHalf",NA,"eat sell",1,0,0,0,1,NA,"UnderHalf","UnderHalf","","",NA,6000,"total_income_per_year",NA,NA,"Male_adult",0,0,1,0,"Male_adult",0,0,1,0,"uuid:9c9fde53-162f-4583-876d-ff9b5ef2efdb","uuid:9c9fde53-162f-4583-876d-ff9b5ef2efdb/survey_grp/SECTION_Crop_Productivity/crop_repeat[3]","Maicillo",41,"Langue","Las Olivas"
1,3,"Maize","Maíz",NA,"Second",0,0,1,0,0,"area","In total, how much land did you use for growing Maíz during the last 12 months?","En total, ¿cuánta area de tierra utilizó para cultivar Maíz durante los últimos 12 meses?",1,3,"Manzana",0.7056,NA,0.7056,0.7056,0.71,NA,"Y","normal_harvest",8,3,"saco de 100 libras",45.4,363.2,363.2,NA,8,8,514.7392290249433,514.74,NA,NA,"UnderHalf",NA,"eat",1,0,0,0,0,NA,"","","","",NA,NA,"",NA,NA,"",0,0,0,0,"Female_adult",1,0,0,0,"uuid:e48aa1b7-26d1-4ca0-b10d-10870f768b88","uuid:e48aa1b7-26d1-4ca0-b10d-10870f768b88/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Maíz",6,"Langue","Las Olivas"
2,4,"Cassava","yuca",NA,"All_year",1,0,0,0,0,"area","In total, how much land did you use for growing yuca during the last 12 months?","En total, ¿cuánta area de tierra utilizó para cultivar yuca durante los últimos 12 meses?",1,8,"Tarea",0.04375,NA,0.04375,0.04375,0.04,NA,"Y","normal_harvest",10,4,"libras",0.4535,4.535,4.54,NA,10,10,103.65714285714287,103.66,NA,NA,"UnderHalf",NA,"eat",1,0,0,0,0,NA,"","","","",NA,NA,"",NA,NA,"",0,0,0,0,"Female_adult",1,0,0,0,"uuid:e48aa1b7-26d1-4ca0-b10d-10870f768b88","uuid:e48aa1b7-26d1-4ca0-b10d-10870f768b88/survey_grp/SECTION_Crop_Productivity/crop_repeat[2]","yuca",6,"Langue","Las Olivas"
3,12,"Orange Trees","Naranjos",NA,"Spring",0,0,0,1,0,"area","In total, how much land did you use for growing Naranjos during the last 12 months?","En total, ¿cuánta area de tierra utilizó para cultivar Naranjos durante los últimos 12 meses?",1,8,"Tarea",0.04375,NA,0.04375,0.04375,0.04,NA,"Y","normal_harvest",2,3,"saco de 100 libras",45.4,90.8,90.8,NA,2,2,2075.4285714285716,2075.43,NA,NA,"UnderHalf",NA,"eat",1,0,0,0,0,NA,"","","","",NA,NA,"",NA,NA,"",0,0,0,0,"Female_adult",1,0,0,0,"uuid:e48aa1b7-26d1-4ca0-b10d-10870f768b88","uuid:e48aa1b7-26d1-4ca0-b10d-10870f768b88/survey_grp/SECTION_Crop_Productivity/crop_repeat[3]","Naranjos",6,"Langue","Las Olivas"
1,3,"Maize","Maíz",NA,"Second",0,0,1,0,0,"area","In total, how much land did you use for growing Maíz during the last 12 months?","En total, ¿cuánta area de tierra utilizó para cultivar Maíz durante los últimos 12 meses?",20,3,"Manzana",0.7056,NA,0.7056,14.112,14.11,NA,"Y","good_harvest",20,9,"Quintales 16 (100 Libras )",727,14540,14540,NA,1,1,1030.328798185941,1030.33,NA,NA,"Half",NA,"eat",1,0,0,0,0,NA,"","","","",NA,NA,"",NA,NA,"",0,0,0,0,"Male_adult Female_adult",1,0,1,0,"uuid:00f8a67f-7619-4b82-9cc9-059ac4180656","uuid:00f8a67f-7619-4b82-9cc9-059ac4180656/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Maíz",19,"Langue","Las Olivas"
1,3,"Maize","Maíz",NA,"Second",0,0,1,0,0,"area","In total, how much land did you use for growing Maíz during the last 12 months?","En total, ¿cuánta area de tierra utilizó para cultivar Maíz durante los últimos 12 meses?",2,3,"Manzana",0.7056,NA,0.7056,1.4112,1.41,NA,"Y","normal_harvest",30,3,"saco de 100 libras",45.4,1362,1362,NA,15,15,965.1360544217687,965.14,NA,NA,"Little",NA,"eat sell",1,0,0,0,1,NA,"UnderHalf","UnderHalf","","",NA,0,"price_per_lb",NA,NA,"Male_adult",0,0,1,0,"Male_adult",0,0,1,0,"uuid:aa051a9e-f054-44a2-b3a5-d5c638a78f98","uuid:aa051a9e-f054-44a2-b3a5-d5c638a78f98/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Maíz",12,"Langue","Las Olivas"
2,4,"Cassava","yuca",NA,"All_year",1,0,0,0,0,"area","In total, how much land did you use for growing yuca during the last 12 months?","En total, ¿cuánta area de tierra utilizó para cultivar yuca durante los últimos 12 meses?",1,8,"Tarea",0.04375,NA,0.04375,0.04375,0.04,NA,"Y","normal_harvest",0,4,"libras",0.4535,0,0,NA,0,0,0,0,NA,NA,"Little",NA,"eat",1,0,0,0,0,NA,"","","","",NA,NA,"",NA,NA,"",0,0,0,0,"Male_adult",0,0,1,0,"uuid:aa051a9e-f054-44a2-b3a5-d5c638a78f98","uuid:aa051a9e-f054-44a2-b3a5-d5c638a78f98/survey_grp/SECTION_Crop_Productivity/crop_repeat[2]","yuca",12,"Langue","Las Olivas"
3,6,"Sweet Potato","Camote",NA,"Spring",0,0,0,1,0,"area","In total, how much land did you use for growing Camote during the last 12 months?","En total, ¿cuánta area de tierra utilizó para cultivar Camote durante los últimos 12 meses?",1,8,"Tarea",0.04375,NA,0.04375,0.04375,0.04,NA,"Y","normal_harvest",0,4,"libras",0.4535,0,0,NA,0,0,0,0,NA,NA,"Little",NA,"eat",1,0,0,0,0,NA,"","","","",NA,NA,"",NA,NA,"",0,0,0,0,"Male_adult",0,0,1,0,"uuid:aa051a9e-f054-44a2-b3a5-d5c638a78f98","uuid:aa051a9e-f054-44a2-b3a5-d5c638a78f98/survey_grp/SECTION_Crop_Productivity/crop_repeat[3]","Camote",12,"Langue","Las Olivas"
1,3,"Maize","Maíz",NA,"Second",0,0,1,0,0,"area","In total, how much land did you use for growing Maíz during the last 12 months?","En total, ¿cuánta area de tierra utilizó para cultivar Maíz durante los últimos 12 meses?",1,3,"Manzana",0.7056,NA,0.7056,0.7056,0.71,NA,"Y","normal_harvest",5,3,"saco de 100 libras",45.4,227,227,NA,5,5,321.7120181405896,321.71,NA,NA,"UnderHalf",NA,"eat",1,0,0,0,0,NA,"","","","",NA,NA,"",NA,NA,"",0,0,0,0,"Female_adult",1,0,0,0,"uuid:dee794b9-9103-4284-b2e5-c5a20a1db8ce","uuid:dee794b9-9103-4284-b2e5-c5a20a1db8ce/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Maíz",55,"Langue","Las Olivas"
1,3,"Maize","Maíz",NA,"Spring",0,0,0,1,0,"area","In total, how much land did you use for growing Maíz during the last 12 months?","En total, ¿cuánta area de tierra utilizó para cultivar Maíz durante los últimos 12 meses?",8,8,"Tarea",0.04375,NA,0.04375,0.35,0.35,NA,"Y","normal_harvest",14,3,"saco de 100 libras",45.4,635.6,635.6,NA,1.75,1.75,1816,1816,NA,NA,"All",NA,"eat",1,0,0,0,0,NA,"","","","",NA,NA,"",NA,NA,"",0,0,0,0,"Male_Youth",0,0,0,1,"uuid:2c0251ab-6a50-4de3-b0c1-3a5793f5802c","uuid:2c0251ab-6a50-4de3-b0c1-3a5793f5802c/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Maíz",58,"Langue","Las Olivas"
1,3,"Maize","Maíz",NA,"Second",0,0,1,0,0,"area","In total, how much land did you use for growing Maíz during the last 12 months?","En total, ¿cuánta area de tierra utilizó para cultivar Maíz durante los últimos 12 meses?",1,3,"Manzana",0.7056,NA,0.7056,0.7056,0.71,NA,"Y","normal_harvest",13,3,"saco de 100 libras",45.4,590.1999999999999,590.2,NA,13,13,836.4512471655328,836.45,NA,NA,"UnderHalf",NA,"eat",1,0,0,0,0,NA,"","","","",NA,NA,"",NA,NA,"",0,0,0,0,"Female_adult",1,0,0,0,"uuid:376ff232-2461-486f-8c0a-cb7485f56d64","uuid:376ff232-2461-486f-8c0a-cb7485f56d64/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Maíz",56,"Langue","Las Olivas"
2,4,"Cassava","yuca",NA,"All_year",1,0,0,0,0,"area","In total, how much land did you use for growing yuca during the last 12 months?","En total, ¿cuánta area de tierra utilizó para cultivar yuca durante los últimos 12 meses?",1,8,"Tarea",0.04375,NA,0.04375,0.04375,0.04,NA,"Y","normal_harvest",13,3,"saco de 100 libras",45.4,590.1999999999999,590.2,NA,13,13,13490.285714285714,13490.29,NA,NA,"UnderHalf",NA,"eat",1,0,0,0,0,NA,"","","","",NA,NA,"",NA,NA,"",0,0,0,0,"Female_adult",1,0,0,0,"uuid:376ff232-2461-486f-8c0a-cb7485f56d64","uuid:376ff232-2461-486f-8c0a-cb7485f56d64/survey_grp/SECTION_Crop_Productivity/crop_repeat[2]","yuca",56,"Langue","Las Olivas"
3,8,"Kidney Beans","Frijoles alacines",NA,"Second",0,0,1,0,0,"area","In total, how much land did you use for growing Frijoles alacines during the last 12 months?","En total, ¿cuánta area de tierra utilizó para cultivar Frijoles alacines durante los últimos 12 meses?",1,3,"Manzana",0.7056,NA,0.7056,0.7056,0.71,NA,"Y","normal_harvest",10,11,"Quintales (100)",45.4,454,454,NA,10,10,643.4240362811792,643.42,NA,NA,"UnderHalf",NA,"eat",1,0,0,0,0,NA,"","","","",NA,NA,"",NA,NA,"",0,0,0,0,"Female_adult",1,0,0,0,"uuid:376ff232-2461-486f-8c0a-cb7485f56d64","uuid:376ff232-2461-486f-8c0a-cb7485f56d64/survey_grp/SECTION_Crop_Productivity/crop_repeat[3]","Frijoles alacines",56,"Langue","Las Olivas"
